,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,65.0,5,0.0009127700000135519,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",5,0.1,1000
1,1000,20.0,6029,0.9757566929999939,"[2, 0, 1, 0, 1, 2, 2, 1, 0, 1, 2, 1, 2, 2, 0, 1, 0, 0, 0, 0, 2, 1, 1, 2, 2, 1, 0, 0, 1, 2, 2, 1, 1, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 0, 1, 2, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 2, 1, 0, 0, 1, 1, 2, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 1, 2, 1, 2, 0]",5,0.1,1000
2,0,65.0,5,0.0006833509999069065,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",5,0.4,1000
3,1000,10.0,6042,0.9751222570000664,"[2, 0, 0, 1, 1, 2, 0, 2, 0, 2, 2, 0, 0, 1, 0, 2, 0, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1, 1, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 2, 1, 1, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 0]",5,0.4,1000
4,0,65.0,5,0.0006987720000779518,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",5,0.7000000000000001,1000
5,1000,3.0,6047,0.9828589610001472,"[2, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 1, 2, 1, 0, 1, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 2, 0, 0, 2, 2, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 2, 1, 1, 2]",5,0.7000000000000001,1000
6,0,65.0,25,0.002478287000030832,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",25,0.1,1000
7,1000,9.0,26057,3.515979878000053,"[0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0, 1, 0, 2, 0, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0, 0, 1, 1, 2, 0, 2, 2, 1, 2, 0, 2, 2, 1, 0, 1, 2, 2, 0, 1, 0, 0, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 1, 1, 0, 2, 0, 0, 2, 1, 1, 0, 1, 2, 0, 1, 1, 2, 2, 1, 0, 0, 0, 2]",25,0.1,1000
8,0,65.0,25,0.002583008000101472,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",25,0.4,1000
9,1000,1.0,24424,3.3101550630001384,"[1, 2, 1, 2, 1, 1, 1, 0, 1, 1, 0, 2, 2, 2, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 0, 1, 2, 1, 1, 2, 0, 1, 0, 2, 1, 2, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 2, 1, 2, 0, 0, 0, 1, 2, 2, 0, 2, 0, 2, 0, 2, 1, 1, 1, 1, 0, 0, 2, 1, 1, 2, 1, 1, 0, 0, 0]",25,0.4,1000
10,0,65.0,25,0.002486475000068822,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",25,0.7000000000000001,1000
11,1000,2.0,25070,3.4542078609999862,"[0, 0, 2, 0, 1, 2, 1, 2, 2, 0, 0, 1, 0, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 2, 1, 0, 1, 1, 2, 0, 0, 1, 2, 1, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 2, 2, 0, 1, 2, 0, 2, 2, 0, 2, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 2, 2, 1, 0, 1, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 2, 2]",25,0.7000000000000001,1000
12,0,65.0,125,0.011549390000027415,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",125,0.1,1000
13,1000,3.0,85198,10.853904577999856,"[2, 0, 1, 0, 1, 2, 0, 2, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 2, 0, 0, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 0, 0, 2, 0, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 2, 1, 2, 2, 2, 0, 0, 2, 1, 2, 2, 0, 2, 2, 1, 0, 1, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 2, 1, 0, 1, 2, 1, 1, 2, 2]",125,0.1,1000
14,0,65.0,125,0.014536772999917957,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",125,0.4,1000
15,1000,3.0,113043,14.65311395499998,"[2, 0, 1, 0, 2, 1, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 2, 0, 1, 2, 2, 0, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 2, 0, 2, 0, 0, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 2, 1, 2, 1, 0, 2, 0, 0, 1, 1, 2, 0, 2, 1, 2, 1, 2]",125,0.4,1000
16,0,65.0,125,0.013031227000055878,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",125,0.7000000000000001,1000
17,1000,1.0,126154,16.570712098000058,"[2, 2, 2, 2, 0, 0, 1, 0, 0, 2, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 2, 0, 1, 1, 2, 2, 0, 1, 2, 2, 0, 2, 2, 0, 0, 1, 0, 2, 1, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 0, 2, 1, 0, 2, 2, 1, 1, 2, 0, 1, 0, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",125,0.7000000000000001,1000
