,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0020696169999609992,43.0,5.0,True,5,0.1,1000
1,1,0.09832587899995815,43.0,11.0,True,5,0.1,1000
2,2,0.19932288900008643,43.0,17.0,True,5,0.1,1000
3,3,0.30439852700010306,43.0,23.0,True,5,0.1,1000
4,4,0.406058067999993,43.0,29.0,True,5,0.1,1000
5,5,0.5104465950000758,43.0,35.0,True,5,0.1,1000
6,6,0.6111482109999997,43.0,41.0,True,5,0.1,1000
7,7,0.7125705329999619,43.0,47.0,True,5,0.1,1000
8,8,0.8171950030000517,43.0,53.0,True,5,0.1,1000
9,9,0.9184571650000635,43.0,59.0,True,5,0.1,1000
10,10,1.021628451999959,43.0,65.0,True,5,0.1,1000
11,11,1.1215705669999352,43.0,71.0,True,5,0.1,1000
12,12,1.2234442710000621,43.0,77.0,True,5,0.1,1000
13,13,1.326193215000103,43.0,83.0,True,5,0.1,1000
14,14,1.425932376999981,43.0,89.0,True,5,0.1,1000
15,15,1.5298593640000036,43.0,95.0,True,5,0.1,1000
16,16,1.6319084019999082,43.0,101.0,True,5,0.1,1000
17,17,1.7340694300000905,43.0,107.0,True,5,0.1,1000
18,18,1.8365048769999248,43.0,113.0,True,5,0.1,1000
19,19,1.9386935320001157,43.0,119.0,True,5,0.1,1000
20,20,2.0424705949999407,43.0,125.0,True,5,0.1,1000
21,21,2.144252270999914,43.0,131.0,True,5,0.1,1000
22,22,2.2482693750000635,43.0,137.0,True,5,0.1,1000
23,23,2.3486657710000145,43.0,143.0,True,5,0.1,1000
24,24,2.4497523320001164,43.0,149.0,True,5,0.1,1000
25,25,2.5525257780000175,43.0,155.0,True,5,0.1,1000
26,26,2.6547135670000443,43.0,161.0,True,5,0.1,1000
27,27,2.759153885999922,43.0,167.0,True,5,0.1,1000
28,28,2.860803211000075,43.0,173.0,True,5,0.1,1000
29,29,2.9616416670000945,43.0,179.0,True,5,0.1,1000
30,30,3.065976110000065,43.0,185.0,True,5,0.1,1000
31,31,3.167582358000118,43.0,191.0,True,5,0.1,1000
32,32,3.272179506999919,43.0,197.0,True,5,0.1,1000
33,33,3.374456728000041,43.0,203.0,True,5,0.1,1000
34,34,3.4754599719999533,43.0,209.0,True,5,0.1,1000
35,35,3.5801872800000183,43.0,215.0,True,5,0.1,1000
36,36,3.682799993000117,43.0,221.0,True,5,0.1,1000
