,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,65.0,0,0.0002767910000329721,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",0,1000,0
1,1000,12.0,1036,0.3428479160000961,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",0,1000,0
2,0,65.0,0,0.00022422399990773556,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",2,1000,0
3,1000,12.0,1036,0.3374251359999789,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",2,1000,0
4,0,73.0,1036,0.3508052109999653,"[1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 1, 0, 2, 1, 1, 1, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 1]",2,1000,1
5,1000,8.0,2086,1.1538267019999466,"[2, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0, 0, 0, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 2, 1, 0, 2, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 0, 2, 2, 2]",2,1000,1
6,0,59.0,2086,1.17250065799999,"[0, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 0, 0, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 0, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 2, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 0]",2,1000,2
7,1000,6.0,3128,2.425053481999953,"[0, 0, 0, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 2, 0, 2, 0, 2, 1, 0, 0, 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 0, 1, 2]",2,1000,2
8,0,65.0,0,0.0003017809999619203,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 1]",8,1000,0
9,1000,12.0,1036,0.3544434719999572,"[0, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1]",8,1000,0
