,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0006244940000215138,43.0,0.0,10,1000
1,1,0.004240331000119113,43.0,2.0,10,1000
2,2,0.0048183760000029,43.0,4.0,10,1000
3,3,0.005116161000159991,43.0,5.0,10,1000
4,4,0.005688747000021976,43.0,7.0,10,1000
5,5,0.006258416000036959,43.0,9.0,10,1000
6,6,0.0068284740000308375,45.0,11.0,10,1000
7,7,0.007398362999992969,48.0,13.0,10,1000
8,8,0.007965055000113352,50.0,15.0,10,1000
9,9,0.008262857000090662,50.0,16.0,10,1000
10,10,0.00883357500015336,51.0,18.0,10,1000
11,11,0.009400862000120469,48.0,20.0,10,1000
12,12,0.00997144300004038,49.0,22.0,10,1000
13,13,0.010269501000038872,49.0,23.0,10,1000
14,14,0.010928643000170268,49.0,25.0,10,1000
15,15,0.01152338600013536,49.0,27.0,10,1000
16,16,0.012133446000007098,48.0,29.0,10,1000
17,17,0.012705361000143967,48.0,31.0,10,1000
18,18,0.013278483000021879,49.0,33.0,10,1000
19,19,0.013853847000063979,50.0,35.0,10,1000
20,20,0.01442843100016944,50.0,37.0,10,1000
21,21,0.015000912999994398,54.0,39.0,10,1000
22,22,0.015572387000020171,53.0,41.0,10,1000
23,23,0.016143182000178058,51.0,43.0,10,1000
24,24,0.01671539400012989,50.0,45.0,10,1000
25,25,0.01729138900009275,50.0,47.0,10,1000
26,26,0.01786396100010279,49.0,49.0,10,1000
27,27,0.018440313000155584,49.0,51.0,10,1000
28,28,0.019017596000139747,49.0,53.0,10,1000
29,29,0.01932191400010197,49.0,54.0,10,1000
30,30,0.01990338900009192,49.0,56.0,10,1000
31,31,0.020479966000038985,46.0,58.0,10,1000
32,32,0.021060353000166288,46.0,60.0,10,1000
33,33,0.021636519000139742,45.0,62.0,10,1000
34,34,0.022256741000092006,46.0,64.0,10,1000
35,35,0.022836318000145184,48.0,66.0,10,1000
36,36,0.023417994000055842,48.0,68.0,10,1000
37,37,0.02399836100016728,49.0,70.0,10,1000
38,38,0.02457594300017263,48.0,72.0,10,1000
39,39,0.025151845999971556,47.0,74.0,10,1000
40,40,0.025729880999961097,46.0,76.0,10,1000
41,41,0.026311981000162632,47.0,78.0,10,1000
42,42,0.026896411000052467,48.0,80.0,10,1000
43,43,0.027208568000105515,48.0,81.0,10,1000
44,44,0.027791164000063873,47.0,83.0,10,1000
45,45,0.028105245999995532,47.0,84.0,10,1000
46,46,0.02869106599996485,49.0,86.0,10,1000
47,47,0.029276664999997593,49.0,88.0,10,1000
48,48,0.02985923799997181,48.0,90.0,10,1000
49,49,0.030444791000036275,48.0,92.0,10,1000
50,50,0.031029821000174707,47.0,94.0,10,1000
51,51,0.03134489400008533,47.0,95.0,10,1000
52,52,0.03192848399999093,46.0,97.0,10,1000
53,53,0.032245562000071004,46.0,98.0,10,1000
54,54,0.03283372100008819,46.0,100.0,10,1000
55,55,0.033421566000015446,45.0,102.0,10,1000
56,56,0.03401122400009626,48.0,104.0,10,1000
57,57,0.03459928799998124,49.0,106.0,10,1000
58,58,0.03518916400003036,49.0,108.0,10,1000
59,59,0.03578023800014307,49.0,110.0,10,1000
60,60,0.03637125099999139,50.0,112.0,10,1000
61,61,0.0369601600000351,52.0,114.0,10,1000
62,62,0.03755326700002115,52.0,116.0,10,1000
63,63,0.03814351699998042,53.0,118.0,10,1000
64,64,0.038737612999966586,55.0,120.0,10,1000
65,65,0.039061958000047525,55.0,121.0,10,1000
66,66,0.039655600000060076,54.0,123.0,10,1000
67,67,0.04024661000016749,53.0,125.0,10,1000
68,68,0.04084008600011657,51.0,127.0,10,1000
