,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.002145689999906608,43.0,5.0,5,0.4,1000
1,1,0.007244920999937676,43.0,11.0,5,0.4,1000
2,2,0.009235083000021405,43.0,17.0,5,0.4,1000
3,3,0.011195890999943003,43.0,23.0,5,0.4,1000
4,4,0.013090033000025869,43.0,29.0,5,0.4,1000
5,5,0.015035880999903384,43.0,35.0,5,0.4,1000
6,6,0.016925592999996297,43.0,41.0,5,0.4,1000
7,7,0.018820528000105696,43.0,47.0,5,0.4,1000
8,8,0.020760195000093518,43.0,53.0,5,0.4,1000
9,9,0.022651359000064986,43.0,59.0,5,0.4,1000
10,10,0.024533131999987745,43.0,65.0,5,0.4,1000
11,11,0.026425543999948786,43.0,71.0,5,0.4,1000
12,12,0.028321447000053013,43.0,77.0,5,0.4,1000
13,13,0.030776485999922443,43.0,83.0,5,0.4,1000
14,14,0.03277138599992213,43.0,89.0,5,0.4,1000
15,15,0.03485165100005361,43.0,95.0,5,0.4,1000
16,16,0.0370595649999359,43.0,101.0,5,0.4,1000
17,17,0.038971007000100144,43.0,107.0,5,0.4,1000
18,18,0.04091248000008818,43.0,113.0,5,0.4,1000
19,19,0.04282102799993481,43.0,119.0,5,0.4,1000
20,20,0.044711188000064794,43.0,125.0,5,0.4,1000
21,21,0.04660159500008376,43.0,131.0,5,0.4,1000
22,22,0.04849327500005529,43.0,137.0,5,0.4,1000
23,23,0.050399235999975645,43.0,143.0,5,0.4,1000
24,24,0.05228936100002102,43.0,149.0,5,0.4,1000
25,25,0.054180545999997776,43.0,155.0,5,0.4,1000
26,26,0.05610920799995256,43.0,161.0,5,0.4,1000
27,27,0.057994882999992114,43.0,167.0,5,0.4,1000
28,28,0.06017894799992973,42.0,174.0,5,0.4,1000
29,29,0.06207845099993392,42.0,180.0,5,0.4,1000
30,30,0.06396088800011057,42.0,186.0,5,0.4,1000
31,31,0.06586432199992487,42.0,192.0,5,0.4,1000
32,32,0.06775068999991163,42.0,198.0,5,0.4,1000
33,33,0.06965481099996396,42.0,204.0,5,0.4,1000
34,34,0.07154902799993579,42.0,210.0,5,0.4,1000
35,35,0.07350350100000469,42.0,216.0,5,0.4,1000
36,36,0.07567178599992985,41.0,223.0,5,0.4,1000
37,37,0.07759503600004791,41.0,229.0,5,0.4,1000
38,38,0.07978436400003375,40.0,236.0,5,0.4,1000
39,39,0.08169885899997098,40.0,242.0,5,0.4,1000
40,40,0.08364190399993277,40.0,248.0,5,0.4,1000
41,41,0.08583659100008845,39.0,255.0,5,0.4,1000
42,42,0.08773589699990225,39.0,261.0,5,0.4,1000
43,43,0.0899304330000632,38.0,268.0,5,0.4,1000
44,44,0.09184514300000046,38.0,274.0,5,0.4,1000
45,45,0.09379299000011088,38.0,280.0,5,0.4,1000
46,46,0.0957094440000219,38.0,286.0,5,0.4,1000
47,47,0.09762897599989628,38.0,292.0,5,0.4,1000
48,48,0.09986735300003602,37.0,299.0,5,0.4,1000
49,49,0.101831231999995,37.0,305.0,5,0.4,1000
50,50,0.10374996800010194,37.0,311.0,5,0.4,1000
51,51,0.1056990859999587,37.0,317.0,5,0.4,1000
52,52,0.10759753599995747,37.0,323.0,5,0.4,1000
53,53,0.10950156200010497,37.0,329.0,5,0.4,1000
54,54,0.11145978600006856,37.0,335.0,5,0.4,1000
55,55,0.11329382400003851,37.0,341.0,5,0.4,1000
56,56,0.11514540699999998,37.0,347.0,5,0.4,1000
57,57,0.1170647320000171,37.0,353.0,5,0.4,1000
58,58,0.11894520100008776,37.0,359.0,5,0.4,1000
59,59,0.12118305200010582,36.0,366.0,5,0.4,1000
60,60,0.12310880099994392,36.0,372.0,5,0.4,1000
61,61,0.12499219500000436,36.0,378.0,5,0.4,1000
62,62,0.12687403800009633,36.0,384.0,5,0.4,1000
63,63,0.1287957889999234,36.0,390.0,5,0.4,1000
64,64,0.13066522999997687,36.0,396.0,5,0.4,1000
65,65,0.13253115800011983,36.0,402.0,5,0.4,1000
66,66,0.13443099899996014,36.0,408.0,5,0.4,1000
67,67,0.1363357420000284,36.0,414.0,5,0.4,1000
68,68,0.13825495700007195,36.0,420.0,5,0.4,1000
69,69,0.14016675199991369,36.0,426.0,5,0.4,1000
70,70,0.14255538399993384,35.0,433.0,5,0.4,1000
71,71,0.14480006600001616,34.0,440.0,5,0.4,1000
72,72,0.14671398800010138,34.0,446.0,5,0.4,1000
73,73,0.14864315699992403,34.0,452.0,5,0.4,1000
74,74,0.15056305100006284,34.0,458.0,5,0.4,1000
75,75,0.15249575699999696,34.0,464.0,5,0.4,1000
76,76,0.15445047000002887,34.0,470.0,5,0.4,1000
77,77,0.15637671800004682,34.0,476.0,5,0.4,1000
78,78,0.158272431000114,34.0,482.0,5,0.4,1000
79,79,0.1601675270001124,34.0,488.0,5,0.4,1000
80,80,0.1624020260001089,32.0,495.0,5,0.4,1000
81,81,0.16436093299989807,32.0,501.0,5,0.4,1000
82,82,0.16630886699999792,32.0,507.0,5,0.4,1000
83,83,0.1682457520000753,32.0,513.0,5,0.4,1000
84,84,0.17016893999993954,32.0,519.0,5,0.4,1000
85,85,0.172105110000075,32.0,525.0,5,0.4,1000
86,86,0.17405777799990574,32.0,531.0,5,0.4,1000
87,87,0.17625389499994526,31.0,538.0,5,0.4,1000
88,88,0.17845602600004895,30.0,545.0,5,0.4,1000
89,89,0.18043692800006284,30.0,551.0,5,0.4,1000
90,90,0.18236623799998597,30.0,557.0,5,0.4,1000
91,91,0.18431190599994807,30.0,563.0,5,0.4,1000
92,92,0.18625288900011583,30.0,569.0,5,0.4,1000
93,93,0.1881299609999587,30.0,575.0,5,0.4,1000
94,94,0.1900799069999266,30.0,581.0,5,0.4,1000
95,95,0.19195404199990662,30.0,587.0,5,0.4,1000
96,96,0.19384426300007362,30.0,593.0,5,0.4,1000
97,97,0.19574378800007253,30.0,599.0,5,0.4,1000
98,98,0.19763448399999106,30.0,605.0,5,0.4,1000
99,99,0.19980313399992156,29.0,612.0,5,0.4,1000
100,100,0.20170087700012118,29.0,618.0,5,0.4,1000
101,101,0.2035923509999975,29.0,624.0,5,0.4,1000
102,102,0.20585651600003985,27.0,631.0,5,0.4,1000
103,103,0.20776860099999794,27.0,637.0,5,0.4,1000
104,104,0.20965909500000635,27.0,643.0,5,0.4,1000
105,105,0.211595940000052,27.0,649.0,5,0.4,1000
106,106,0.2135588359999474,27.0,655.0,5,0.4,1000
107,107,0.21572797099997842,26.0,662.0,5,0.4,1000
108,108,0.21761481299995467,26.0,668.0,5,0.4,1000
109,109,0.21949902300002577,26.0,674.0,5,0.4,1000
110,110,0.22138332999998056,26.0,680.0,5,0.4,1000
111,111,0.22359883700005412,24.0,687.0,5,0.4,1000
112,112,0.22549135600002046,24.0,693.0,5,0.4,1000
113,113,0.22754466400010642,24.0,699.0,5,0.4,1000
114,114,0.22975159499992515,23.0,706.0,5,0.4,1000
115,115,0.23166485699994155,23.0,712.0,5,0.4,1000
116,116,0.2336402299999918,23.0,718.0,5,0.4,1000
117,117,0.23546760699991864,23.0,724.0,5,0.4,1000
118,118,0.23734686400007377,23.0,730.0,5,0.4,1000
119,119,0.23926374400002715,23.0,736.0,5,0.4,1000
120,120,0.2411237250000795,23.0,742.0,5,0.4,1000
121,121,0.2429955790000804,23.0,748.0,5,0.4,1000
122,122,0.24633418400003393,23.0,754.0,5,0.4,1000
123,123,0.249636627999962,23.0,760.0,5,0.4,1000
124,124,0.25156113399998503,23.0,766.0,5,0.4,1000
125,125,0.2535218600000917,23.0,772.0,5,0.4,1000
126,126,0.2554885930001092,23.0,778.0,5,0.4,1000
127,127,0.25738588300009724,23.0,784.0,5,0.4,1000
128,128,0.25930738800002473,23.0,790.0,5,0.4,1000
129,129,0.26133952400005,23.0,796.0,5,0.4,1000
130,130,0.2632297519999156,23.0,802.0,5,0.4,1000
131,131,0.2651754040000469,23.0,808.0,5,0.4,1000
132,132,0.2670754600001146,23.0,814.0,5,0.4,1000
133,133,0.2693054149999625,21.0,821.0,5,0.4,1000
134,134,0.27123667099999693,21.0,827.0,5,0.4,1000
135,135,0.2731309280000005,21.0,833.0,5,0.4,1000
136,136,0.27502654799991433,21.0,839.0,5,0.4,1000
137,137,0.27697827399993,21.0,845.0,5,0.4,1000
138,138,0.278883210999993,21.0,851.0,5,0.4,1000
139,139,0.28082427300000745,21.0,857.0,5,0.4,1000
140,140,0.2829954510000334,20.0,864.0,5,0.4,1000
141,141,0.2849497679999331,20.0,870.0,5,0.4,1000
142,142,0.28688904199998433,20.0,876.0,5,0.4,1000
143,143,0.2887851309999405,20.0,882.0,5,0.4,1000
144,144,0.2908159589999286,20.0,888.0,5,0.4,1000
145,145,0.29280067500008045,20.0,894.0,5,0.4,1000
146,146,0.29471372300008625,20.0,900.0,5,0.4,1000
147,147,0.29695805300002576,19.0,907.0,5,0.4,1000
148,148,0.298861837000004,19.0,913.0,5,0.4,1000
149,149,0.300786245999916,19.0,919.0,5,0.4,1000
150,150,0.30273131400008424,19.0,925.0,5,0.4,1000
151,151,0.30470233500000177,19.0,931.0,5,0.4,1000
152,152,0.30662946500001453,19.0,937.0,5,0.4,1000
